protocol,scope,contracts_compared,A_orig_standard,B_orig_viair,C_gasopt_standard,D_gasopt_viair,compiler_alone_pct_A_to_B,gasopt_alone_pct_A_to_C,gasopt_under_viair_pct_B_to_D,best_vs_baseline_pct_A_to_D
aave-v3-origin,production,34,80709345.0,,79920865.0,,,-0.9769376767956672,,
core,production,1,195485.0,,194085.0,,,-0.716167480880886,,
core-v3,production,13,16750268.0,,16748184.0,,,-0.01244159197930445,,
morpho-blue,production,1,3724925.0,2728520.0,3724713.0,2728383.0,-26.749666100659745,-0.00569138975952536,-0.005021037045724422,-26.753344027060947
openzeppelin-contracts,library-embedded,18,29118797.0,28837083.0,29117145.0,28833691.0,-0.9674644182587625,-0.005673311297853411,-0.011762632163592968,-0.9791132511415221
v4-core,production,1,4344280.0,3778411.0,4344080.0,3778332.0,-13.025610688077196,-0.004603754822433176,-0.00209082601125182,-13.027429171232058
